Frame;MethodName;RunTime;
00:05:01;PaintVideo;0.3254;
00:05:01;RenderFrame;69.1721;
00:05:02;GetVideoFrameFromVIP;10.7266;
00:05:02;PaintVideo;0.3904;
00:05:02;RenderFrame;11.2437;
00:05:03;GetVideoFrameFromVIP;11.1034;
00:05:03;PaintVideo;0.2865;
00:05:03;RenderFrame;11.4854;
00:05:04;GetVideoFrameFromVIP;10.6938;
00:05:04;PaintVideo;0.2913;
00:05:04;RenderFrame;11.0797;
00:05:05;GetVideoFrameFromVIP;11.0657;
00:05:05;PaintVideo;0.5177;
00:05:05;RenderFrame;11.7431;
00:05:06;GetVideoFrameFromVIP;10.6073;
00:05:06;PaintVideo;0.3454;
00:05:06;RenderFrame;11.1224;
00:05:07;GetVideoFrameFromVIP;11.0369;
00:05:07;PaintVideo;0.2944;
00:05:07;RenderFrame;11.4344;
00:05:08;GetVideoFrameFromVIP;11.2647;
00:05:08;PaintVideo;0.4448;
00:05:08;RenderFrame;11.8957;
00:05:09;GetVideoFrameFromVIP;11.9255;
00:05:09;PaintVideo;0.9366;
00:05:09;RenderFrame;13.1156;
00:05:10;GetVideoFrameFromVIP;11.1084;
00:05:10;PaintVideo;0.5226;
00:05:10;RenderFrame;11.8456;
00:05:11;GetVideoFrameFromVIP;11.1724;
00:05:11;PaintVideo;0.3205;
00:05:11;RenderFrame;11.6119;
00:05:12;GetVideoFrameFromVIP;10.8883;
00:05:12;PaintVideo;0.5059;
00:05:12;RenderFrame;11.4893;
00:05:13;GetVideoFrameFromVIP;11.1253;
00:05:13;PaintVideo;0.302;
00:05:13;RenderFrame;11.5326;
00:05:14;GetVideoFrameFromVIP;10.4779;
00:05:14;PaintVideo;0.3175;
00:05:14;RenderFrame;11.0833;
00:05:15;GetVideoFrameFromVIP;11.0978;
00:05:15;PaintVideo;0.5765;
00:05:15;RenderFrame;11.841;
00:05:16;GetVideoFrameFromVIP;10.8915;
00:05:16;PaintVideo;0.285;
00:05:16;RenderFrame;11.2673;
00:05:17;GetVideoFrameFromVIP;11.0333;
00:05:17;PaintVideo;0.2849;
00:05:17;RenderFrame;11.4056;
00:05:18;GetVideoFrameFromVIP;10.5337;
00:05:18;PaintVideo;0.5712;
00:05:18;RenderFrame;11.3036;
00:05:19;GetVideoFrameFromVIP;10.8432;
00:05:19;PaintVideo;0.2694;
00:05:19;RenderFrame;11.2091;
00:05:20;GetVideoFrameFromVIP;11.4358;
00:05:20;PaintVideo;0.2679;
00:05:20;RenderFrame;11.8134;
00:05:21;GetVideoFrameFromVIP;11.0508;
00:05:21;PaintVideo;0.4231;
00:05:21;RenderFrame;11.6606;
00:05:22;GetVideoFrameFromVIP;10.5723;
00:05:22;PaintVideo;0.6324;
00:05:22;RenderFrame;11.3386;
00:05:23;GetVideoFrameFromVIP;11.1183;
00:05:23;PaintVideo;0.3307;
00:05:23;RenderFrame;11.5563;
00:05:24;GetVideoFrameFromVIP;11.4397;
00:05:24;PaintVideo;0.4092;
00:05:24;RenderFrame;12.0907;
00:06:00;GetVideoFrameFromVIP;11.5747;
00:06:00;PaintVideo;0.5379;
00:06:00;RenderFrame;12.3766;
00:06:01;GetVideoFrameFromVIP;11.2299;
00:06:01;PaintVideo;0.6713;
00:06:01;RenderFrame;12.0893;
00:06:02;GetVideoFrameFromVIP;11.1555;
00:06:02;PaintVideo;0.3252;
00:06:02;RenderFrame;11.5926;
00:06:03;GetVideoFrameFromVIP;12.1268;
00:06:03;PaintVideo;0.7356;
00:06:03;RenderFrame;12.9783;
00:06:04;GetVideoFrameFromVIP;12.0753;
00:06:04;PaintVideo;0.3796;
00:06:04;RenderFrame;12.5728;
00:06:05;GetVideoFrameFromVIP;11.6945;
00:06:05;PaintVideo;0.4863;
00:06:05;RenderFrame;12.3308;
00:06:06;GetVideoFrameFromVIP;11.0749;
00:06:06;PaintVideo;0.3085;
00:06:06;RenderFrame;11.4806;
00:06:07;GetVideoFrameFromVIP;11.1653;
00:06:07;PaintVideo;0.3096;
00:06:07;RenderFrame;11.5678;
00:06:08;GetVideoFrameFromVIP;10.812;
00:06:08;PaintVideo;0.7513;
00:06:08;RenderFrame;11.7565;
00:06:09;GetVideoFrameFromVIP;11.1009;
00:06:09;PaintVideo;0.3735;
00:06:09;RenderFrame;11.648;
00:06:10;GetVideoFrameFromVIP;10.8375;
00:06:10;PaintVideo;0.3429;
00:06:10;RenderFrame;11.3252;
00:06:11;GetVideoFrameFromVIP;11.161;
00:06:11;PaintVideo;0.3744;
00:06:11;RenderFrame;11.7016;
00:06:12;GetVideoFrameFromVIP;10.766;
00:06:12;PaintVideo;0.3584;
00:06:12;RenderFrame;11.2359;
00:06:13;GetVideoFrameFromVIP;11.2656;
00:06:13;PaintVideo;0.7629;
00:06:13;RenderFrame;12.2509;
00:06:14;GetVideoFrameFromVIP;11.1762;
00:06:14;PaintVideo;0.3007;
00:06:14;RenderFrame;11.5831;
00:06:15;GetVideoFrameFromVIP;10.6256;
00:06:15;PaintVideo;0.7101;
00:06:15;RenderFrame;11.5041;
00:06:16;GetVideoFrameFromVIP;11.1576;
00:06:16;PaintVideo;0.3365;
00:06:16;RenderFrame;11.6022;
00:06:17;GetVideoFrameFromVIP;11.2001;
00:06:17;PaintVideo;0.3156;
00:06:17;RenderFrame;11.7036;
00:06:18;GetVideoFrameFromVIP;11.033;
00:06:18;PaintVideo;0.6596;
00:06:18;RenderFrame;11.972;
00:06:19;GetVideoFrameFromVIP;11.1642;
00:06:19;PaintVideo;0.6339;
00:06:19;RenderFrame;11.9283;
00:06:20;GetVideoFrameFromVIP;10.9789;
00:06:20;PaintVideo;0.3383;
00:06:20;RenderFrame;11.5686;
00:06:21;GetVideoFrameFromVIP;11.2515;
00:06:21;PaintVideo;0.3507;
00:06:21;RenderFrame;11.8471;
00:06:22;GetVideoFrameFromVIP;10.8139;
00:06:22;PaintVideo;0.7401;
00:06:22;RenderFrame;11.8235;
00:06:23;GetVideoFrameFromVIP;11.2838;
00:06:23;PaintVideo;0.2866;
00:06:23;RenderFrame;11.6779;
00:06:24;GetVideoFrameFromVIP;10.63;
00:06:24;PaintVideo;0.3101;
00:06:24;RenderFrame;11.3538;
00:07:00;GetVideoFrameFromVIP;10.7122;
00:07:00;PaintVideo;0.3376;
00:07:00;RenderFrame;11.1947;
00:07:01;GetVideoFrameFromVIP;5.3276;
00:07:01;PaintVideo;0.2864;
00:07:02;GetVideoFrameFromVIP;5.4642;
00:07:02;PaintVideo;0.2598;
00:07:03;GetVideoFrameFromVIP;5.1456;
00:07:03;PaintVideo;0.2737;
00:07:04;GetVideoFrameFromVIP;5.0905;
00:07:04;PaintVideo;0.2827;
00:07:05;GetVideoFrameFromVIP;5.841;
00:07:05;PaintVideo;0.2967;
00:07:06;GetVideoFrameFromVIP;5.3996;
00:07:06;PaintVideo;0.2767;
00:07:07;GetVideoFrameFromVIP;5.4794;
00:07:07;PaintVideo;0.278;
00:07:08;GetVideoFrameFromVIP;5.6905;
00:07:08;PaintVideo;0.2693;
00:07:09;GetVideoFrameFromVIP;5.0623;
00:07:09;PaintVideo;0.285;
00:07:10;GetVideoFrameFromVIP;5.6223;
00:07:10;PaintVideo;0.2708;
00:07:11;GetVideoFrameFromVIP;5.5887;
00:07:11;PaintVideo;0.2812;
00:07:12;GetVideoFrameFromVIP;5.4917;
00:07:12;PaintVideo;0.286;
00:07:13;GetVideoFrameFromVIP;5.5612;
00:07:13;PaintVideo;0.3364;
00:07:14;GetVideoFrameFromVIP;5.4277;
00:07:14;PaintVideo;0.277;
00:07:15;GetVideoFrameFromVIP;5.4591;
00:07:15;PaintVideo;0.5408;
00:07:16;GetVideoFrameFromVIP;5.2932;
00:07:16;PaintVideo;0.2954;
00:07:17;GetVideoFrameFromVIP;5.4076;
00:07:17;PaintVideo;0.3069;
00:07:18;GetVideoFrameFromVIP;5.5745;
00:07:18;PaintVideo;0.2606;
00:07:19;GetVideoFrameFromVIP;5.212;
00:07:19;PaintVideo;0.2841;
00:07:20;GetVideoFrameFromVIP;5.8644;
00:07:20;PaintVideo;0.4839;
00:07:21;GetVideoFrameFromVIP;5.2134;
00:07:21;PaintVideo;0.4392;
00:07:22;GetVideoFrameFromVIP;5.7159;
00:07:22;PaintVideo;0.3094;
00:07:23;GetVideoFrameFromVIP;5.7871;
00:07:23;PaintVideo;0.2991;
00:07:24;GetVideoFrameFromVIP;5.2631;
00:07:24;PaintVideo;0.269;
00:08:00;GetVideoFrameFromVIP;5.4976;
00:08:00;PaintVideo;0.3006;
00:08:01;GetVideoFrameFromVIP;5.4786;
00:08:01;PaintVideo;0.2787;
00:08:02;GetVideoFrameFromVIP;5.5288;
00:08:02;PaintVideo;0.2619;
00:08:03;GetVideoFrameFromVIP;5.6142;
00:08:03;PaintVideo;0.2807;
00:08:04;GetVideoFrameFromVIP;5.1265;
00:08:04;PaintVideo;0.2802;
00:08:05;GetVideoFrameFromVIP;5.9708;
00:08:05;PaintVideo;0.2736;
00:08:06;GetVideoFrameFromVIP;5.5333;
00:08:06;PaintVideo;0.2641;
00:08:07;GetVideoFrameFromVIP;5.6699;
00:08:07;PaintVideo;0.4497;
00:08:08;GetVideoFrameFromVIP;5.3438;
00:08:08;PaintVideo;0.2756;
00:08:09;GetVideoFrameFromVIP;5.2225;
00:08:09;PaintVideo;0.2791;
00:08:10;GetVideoFrameFromVIP;5.6187;
00:08:10;PaintVideo;0.2532;
00:08:11;GetVideoFrameFromVIP;5.736;
00:08:11;PaintVideo;0.2961;
00:08:12;GetVideoFrameFromVIP;5.2552;
00:08:12;PaintVideo;0.3173;
00:08:13;GetVideoFrameFromVIP;5.622;
00:08:13;PaintVideo;0.2762;
00:08:14;GetVideoFrameFromVIP;5.1617;
00:08:14;PaintVideo;0.2787;
00:08:15;GetVideoFrameFromVIP;5.4983;
00:08:15;PaintVideo;0.2917;
00:08:16;GetVideoFrameFromVIP;5.7948;
00:08:16;PaintVideo;0.3107;
00:08:17;GetVideoFrameFromVIP;5.4705;
00:08:17;PaintVideo;0.2777;
00:08:18;GetVideoFrameFromVIP;5.7929;
00:08:18;PaintVideo;0.2691;
00:08:19;GetVideoFrameFromVIP;5.411;
00:08:19;PaintVideo;0.2671;
00:08:20;GetVideoFrameFromVIP;7.7625;
00:08:20;PaintVideo;0.2801;
00:08:21;GetVideoFrameFromVIP;5.858;
00:08:21;PaintVideo;0.272;
00:08:22;GetVideoFrameFromVIP;5.5197;
00:08:22;PaintVideo;0.2742;
00:08:23;GetVideoFrameFromVIP;5.6654;
00:08:23;PaintVideo;0.4613;
00:08:24;GetVideoFrameFromVIP;5.3827;
00:08:24;PaintVideo;0.281;
00:09:00;GetVideoFrameFromVIP;5.4454;
00:09:00;PaintVideo;0.2831;
00:09:01;GetVideoFrameFromVIP;5.6161;
00:09:01;PaintVideo;0.257;
00:09:02;GetVideoFrameFromVIP;5.5199;
