Frame;Duration;
00:54:01;3.3974;
00:54:02;3.4007;
00:54:03;3.3213;
00:54:04;3.5451;
00:54:05;3.656;
00:54:06;3.5096;
00:54:07;3.3912;
00:54:08;3.3053;
00:54:09;3.5843;
00:54:10;3.5226;
00:54:11;3.3679;
00:54:12;3.3424;
00:54:13;3.3545;
00:54:14;3.5478;
00:54:15;3.307;
00:54:16;3.4327;
00:54:17;3.3315;
00:54:18;3.5342;
00:54:19;3.551;
00:54:20;3.6426;
00:54:21;3.5267;
00:54:22;3.5178;
00:54:23;3.6382;
00:54:24;3.3544;
00:55:00;3.2488;
00:55:01;3.8227;
00:55:02;7.5968;
00:55:03;3.0822;
00:55:04;1.8505;
00:55:05;2.1897;
00:55:06;1.9771;
00:55:07;2.0535;
00:55:08;2.1755;
00:55:09;1.9401;
00:55:10;1.9793;
00:55:11;1.8051;
00:55:12;1.9764;
00:55:13;1.8982;
00:55:14;2.0062;
00:55:15;2.1924;
00:55:16;1.9422;
00:55:17;1.8815;
00:55:18;1.9623;
00:55:19;1.9073;
00:55:20;1.9255;
00:55:21;1.9235;
00:55:22;1.9286;
00:55:23;1.9851;
00:55:24;1.9715;
00:56:00;1.9352;
00:56:01;1.9416;
00:56:02;1.9001;
00:56:03;2.0869;
00:56:04;2.1767;
00:56:05;1.9537;
00:56:06;2.1896;
00:56:07;1.9493;
00:56:08;1.9667;
00:56:09;2.0825;
00:56:10;2.3036;
00:56:11;2.0514;
00:56:12;2.1152;
00:56:13;2.0153;
00:56:14;2.2561;
00:56:15;1.8761;
00:56:16;1.9976;
00:56:17;2.0468;
00:56:18;1.8926;
00:56:19;2.0347;
00:56:20;2.0099;
00:56:21;2.1888;
00:56:22;2.1252;
00:56:23;1.8226;
00:56:24;2.3402;
00:57:00;2.0307;
00:57:01;1.8293;
00:57:03;1.7565;
00:57:04;4.0028;
00:57:06;7.2298;
00:57:07;6.8974;
00:57:08;7.9885;
00:57:09;5.7756;
00:57:10;7.9986;
00:57:11;7.1156;
00:57:12;8.1985;
00:57:13;7.1025;
00:57:14;6.7449;
00:57:15;7.1244;
00:57:16;8.7608;
00:57:17;6.8779;
00:57:18;8.3469;
00:57:19;8.1271;
00:57:20;8.9875;
00:57:21;9.2249;
00:57:22;4.4326;
00:57:23;6.7354;
00:57:24;6.2405;
00:58:00;7.6112;
00:58:01;8.708;
01:02:20;15;
01:29:02;1.5414;
01:29:03;2.0536;
01:29:04;1.5685;
01:29:05;1.7283;
01:29:06;1.7569;
01:29:07;1.7718;
01:29:08;1.7294;
01:29:09;1.8379;
01:29:10;1.7345;
01:29:11;1.7513;
01:29:12;2.057;
01:29:13;1.7232;
01:29:14;1.7926;
01:29:15;1.7466;
01:29:16;1.7805;
01:29:17;1.7495;
01:29:18;1.7285;
01:29:19;1.6374;
01:29:20;1.7207;
01:29:21;2.0063;
01:29:22;1.724;
01:29:23;1.6857;
01:29:24;1.9336;
01:30:00;1.8224;
01:30:01;1.7487;
01:30:03;9.1668;
01:46:08;2.5547;
01:46:09;2.6837;
01:46:10;2.877;
01:46:11;2.8584;
01:46:12;2.7576;
01:46:13;2.7807;
01:46:14;2.891;
01:46:15;3.0489;
01:46:16;3.0464;
01:46:17;3.1914;
01:46:18;2.5774;
01:46:19;2.9801;
01:46:20;3.6849;
01:46:21;3.6185;
01:46:22;3.6985;
01:46:23;3.3546;
01:46:24;3.5372;
01:47:00;3.354;
01:47:01;3.8736;
01:47:02;3.0645;
01:47:03;3.4495;
01:47:04;2.8705;
01:47:05;3.5202;
01:47:06;3.6896;
01:47:07;3.1935;
01:47:08;3.4126;
01:47:09;3.4897;
01:47:10;3.4144;
01:47:11;3.3832;
01:47:12;3.3849;
01:47:13;3.5239;
01:47:14;2.6716;
01:47:15;2.4126;
01:47:16;3.5533;
01:47:17;3.4696;
01:47:18;3.5494;
01:47:19;3.5587;
01:47:20;3.3569;
01:47:21;3.3638;
01:47:22;3.4798;
01:47:23;3.2013;
01:47:24;2.8885;
01:48:00;3.4224;
01:48:01;4.0119;
01:48:02;1.933;
01:48:03;8.1235;
02:04:09;3.0849;
02:04:10;2.6558;
02:04:11;2.9886;
02:04:12;2.894;
02:04:13;2.366;
02:04:14;2.8554;
02:04:15;2.802;
02:04:16;2.834;
02:04:17;2.9943;
02:04:18;3.2367;
02:04:19;2.623;
02:04:20;3.6788;
02:04:21;3.438;
02:04:22;4.0004;
02:04:23;3.1994;
02:04:24;3.7277;
02:05:00;3.4774;
02:05:01;3.5104;
02:05:02;3.364;
02:05:03;3.4861;
02:05:04;3.1557;
02:05:05;3.7164;
02:05:06;3.0942;
02:05:07;3.748;
02:05:08;2.6796;
02:05:09;3.9204;
02:05:10;2.9015;
02:05:11;3.7807;
02:05:12;3.4827;
02:05:13;3.3216;
02:05:14;3.2591;
02:05:15;3.3442;
